Date,Indian rupee (INR)
1983-05-05,4337.77
1983-05-06,4302.86
1983-05-09,4358.33
1983-05-10,4388.41
1983-05-11,4421.97
1983-05-12,4365.87
1983-05-13,4370.84
1983-05-16,4389.22
1983-05-17,4369.97
1983-05-18,4420.58
1983-05-19,4403.43
1983-05-20,4394.6
1983-05-23,4327.22
1983-05-24,4353.89
1983-05-25,4339.65
1983-05-26,4363.14
1983-05-27,4343.47
1983-05-30,4343.47
1983-05-31,4391.75
1983-06-01,4163.54
1983-06-02,4134.73
1983-06-03,4174.32
1983-06-06,4111.05
1983-06-07,4031.85
1983-06-08,4034.3
1983-06-09,4036.03
